,Year,Match_ID,Phase,Phase_num,Group,Round,Round_selector,Home,Away,Result,Points_Home,Points_Away,Advances,n_Goals_Home,n_Goals_Away,Goals_Home,Goals_Away,n_Pens_Home,n_Pens_Away,Pens_Home,Pens_Away,Time,Date,Venue,City,Attendance,Referee,Possession_Home,Possession_Away,PassAcc_Home,PassAcc_Away,n_Passes_Attempt_Home,n_Passes_Attempt_Away,n_Passes_Compl_Home,n_Passes_Compl_Away,Distance_Home,Distance_Away,OnTarget_Home,OnTarget_Away,OffTarget_Home,OffTarget_Away,ShotsBlocked_Home,ShotsBlocked_Away,Corners_Home,Corners_Away,Offsides_Home,Offsides_Away,Blocks_Home,Blocks_Away,BallsRec_Home,BallsRec_Away,Tackles_Home,Tackles_Away,Fouls_Home,Fouls_Away,Yellow_Home,Yellow_Away,Red_Home,Red_Away,Result_bare,youtube_url,deadline,completed,match_time,kick_off_cest,,,,,,
1,2020,2020_Group_A_1_Turkey_Italy,Group,1,A,1,Group match 1,Turkey,Italy,Match 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,11/06/2021,Stadio Olimpico,Rome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,n-R8c_D1GT8,11/06/2021,yes,"June 11, 2021 19:00:00",11/06/2021 21:00,,,,,2020_Group_A_1_Turkey_Italy,11/06/2021 21:00
2,2020,2020_Group_A_1_Wales_Switzerland,Group,1,A,1,Group match 1,Wales,Switzerland,Match 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15:00 (17:00 UTC+4),12/06/2021,Olympic Stadium,Baku,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,11/06/2021,yes,"June 12, 2021 13:00:00",12/06/2021 15:00,,,,,2020_Group_A_1_Wales_Switzerland,12/06/2021 15:00
7,2020,2020_Group_B_1_Denmark_Finland,Group,1,B,1,Group match 1,Denmark,Finland,Match 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00,12/06/2021,Parken Stadium,Copenhagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,11/06/2021,yes,"June 12, 2021 16:00:00",12/06/2021 18:00,,,,,2020_Group_A_2_Turkey_Wales,16/06/2021 18:00
8,2020,2020_Group_B_1_Belgium_Russia,Group,1,B,1,Group match 1,Belgium,Russia,Match 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00 (22:00 UTC+3),12/06/2021,Krestovsky Stadium,Saint Petersburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,11/06/2021,yes,"June 12, 2021 19:00:00",12/06/2021 21:00,,,,,2020_Group_A_2_Italy_Switzerland,16/06/2021 21:00
19,2020,2020_Group_D_1_England_Croatia,Group,1,D,1,Group match 1,England,Croatia,Match 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15:00 (14:00 UTC+1),13/06/2021,Wembley Stadium,London,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,11/06/2021,yes,"June 13, 2021 13:00:00",13/06/2021 15:00,,,,,2020_Group_A_3_Switzerland_Turkey,20/06/2021 21:00
13,2020,2020_Group_C_1_Austria_NorthMacedonia,Group,1,C,1,Group match 1,Austria,North Macedonia,Match 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00 (19:00 UTC+3),13/06/2021,Arena Na<U+021B>ionala,Bucharest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,11/06/2021,yes,"June 13, 2021 16:00:00",13/06/2021 18:00,,,,,2020_Group_A_3_Italy_Wales,20/06/2021 21:00
14,2020,2020_Group_C_1_Netherlands_Ukraine,Group,1,C,1,Group match 1,Netherlands,Ukraine,Match 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,13/06/2021,Johan Cruyff Arena,Amsterdam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,11/06/2021,yes,"June 13, 2021 19:00:00",13/06/2021 21:00,,,,,2020_Group_B_1_Denmark_Finland,12/06/2021 18:00
20,2020,2020_Group_D_1_Scotland_CzechRepublic,Group,1,D,1,Group match 1,Scotland,Czech Republic,Match 8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15:00 (14:00 UTC+1),14/06/2021,Hampden Park,Glasgow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,11/06/2021,yes,"June 14, 2021 13:00:00",14/06/2021 15:00,,,,,2020_Group_B_1_Belgium_Russia,12/06/2021 21:00
25,2020,2020_Group_E_1_Poland_Slovakia,Group,1,E,1,Group match 1,Poland,Slovakia,Match 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00 (19:00 UTC+3),14/06/2021,Krestovsky Stadium,Saint Petersburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,11/06/2021,yes,"June 14, 2021 16:00:00",14/06/2021 18:00,,,,,2020_Group_B_2_Finland_Russia,16/06/2021 15:00
26,2020,2020_Group_E_1_Spain_Sweden,Group,1,E,1,Group match 1,Spain,Sweden,Match 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,14/06/2021,La Cartuja,Seville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,11/06/2021,yes,"June 14, 2021 19:00:00",14/06/2021 21:00,,,,,2020_Group_B_2_Denmark_Belgium,17/06/2021 18:00
